handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
analyticbridge,Big Data Science,2029,10894,1,1,1664,70,585,9138
ds_ldn,Data Science London,619,2211,1,1,243,0,200,3284
kdnuggets,Gregory Piatetsky,1706,11184,1,1,359,76,919,13621
DataScienceIndy,DataScience Indy,234,23,0,1,0,0,4,24
DataScienceCtrl,Data Science Central,722,275,1,1,1034,0,82,1799
MadDataScience,Alessandro Gagliardi,986,778,1,1,1316,42,46,883
DataEnthusiast,Data Enthusiast,877,751,1,1,1566,7,62,1371
jrmontag,Josh,1576,29151,1,1,1841,503,156,1731
kyharlin,Ky Harlin,1105,141,1,1,99,11,26,344
q_datascience,Data Science,1064,429,0,1,0,0,14,90
billghowe,Bill Howe,1752,90,1,1,37,1,21,474
jfxberns,jfxberns,2339,11828,1,1,518,10,184,2774
BerkeleyData,datascience@berkeley,222,138,1,1,298,3,20,690
datascience_c,Data Science Center,203,25,0,1,101,0,5,32
datasci_Global,Data Science Global,570,71,0,1,34,0,14,270
chicagodata,Data Science Chicago,243,57,1,1,215,0,19,471
DataScienceGeek,Juan Villanueva,663,1412,1,1,108,5,6,239
DataScienceBLN,DataScience Berlin,613,37,1,1,8,0,6,53
KirkDBorne,Kirk Borne,564,14388,1,1,6177,20265,228,5929
datasciencetips,Data Science Tips,1267,11,1,1,68,1,16,1343
TedOBrien93,Data Science Report,891,1230,1,1,1897,8,19,1645
SVDataScience,SV Data Science,194,56,1,1,121,7,5,186
DataScienceROCK,Southern_Charmer,853,12919,1,1,1458,2,3,1065
DataScience201,Data Science 201,333,153,0,0,32,0,4,82
SaayaY,Saaya Yasuda,1613,3541,1,1,573,786,42,647
DataScienceFr,Data Scientists,207,0,1,1,194,0,5,263
imitrovic,Ivan Mitrovic,2403,695,1,1,148,13,23,276
IstvanHajnal,Istvan Hajnal,758,2149,1,1,423,190,11,281
shankariyer,ShankarRadhakrishnan,2037,3383,1,1,457,8,8,214
statshero,ulrich atz,563,365,1,1,130,40,11,155
swgoof,Ryan Swanstrom,1578,3054,1,1,343,1,42,711
leafspider,Mark Hurst,1931,588,1,1,85,0,5,111
InsightDataSci,Insight Data Science,512,5,0,1,22,0,1,83
rey__f,Rey ,1416,587,0,1,507,31,3,144
DataScienceFeed,Data_Science_Exeter,49,29,0,1,88,9,0,42
badassdata,badass data science,833,240,1,1,92,3,9,92
mspan,Mike Spaner,2174,569,1,1,485,313,8,172
yonghosee,용호씨,1609,3684,1,1,829,206,83,1378
kogim,KimInGi,1411,4147,0,1,1993,1720,17,1370
DataScienceATL,Data Science ATL,499,58,0,1,25,0,5,52
asaf_birenzvieg,asaf birenzvieg ,1682,1036,0,1,91,10,2,121
masao_classcat,Masashi Okumura,675,178,1,1,340,11,3,269
LeanDataScience,Lean Data,131,240,0,1,121,2451,7,75
Shailza,Shailiza Manandhar,1667,2488,1,1,174,419,12,261
Reza_Zadeh,Reza Zadeh,1412,621,0,1,336,197,19,1423
fullscratch,hiro takatsuka,1651,6459,1,1,329,348,35,363
cdsscu,CU Data Science Soc,172,14,0,1,12,0,7,61
wyang72,Woosung Yang,1678,1303,1,1,335,508,21,485
datascience,Data Science,1035,0,0,0,16,0,3,36
BR_DataScience,DataScience,114,93,1,1,43,0,0,8
tumra,TUMRA | Data Science,559,18,1,1,104,0,7,144
kingqwert,米岡大輔,1485,2429,1,1,635,26,35,574
DataScienceJob,DataScience Jobs,7,15,1,1,208,0,0,16
DataSci_Berlin,Data Science Berlin,560,38,0,1,35,1,3,120
battymarc,Marc BATTY,364,470,1,1,322,14,8,210
WarwickDataSci,Warwick Data Science,125,35,1,1,54,0,0,20
mai_michan,M∀i ♥,646,3933,1,1,95,133,0,78
datanews2013,Data News 2013,1285,78,1,1,318,5,2,234
BigDataSpeaker,Sushil Pramanick,1426,3617,1,1,1590,22,65,1881
datascience111,Baburao Kamble,1424,30,1,1,220,0,0,90
datascience_at,DataScience Graz,693,32,1,1,12,0,2,42
DataSciABQ,Data Science ABQ,26,44,0,1,25,0,3,13
DataScienceBox,DataScienceBox,288,0,0,1,0,0,3,4
DSS_DataScience,DSS,586,145,0,1,65,0,1,28
DataSciToolbox,Data Science Toolbox,2,1,0,0,1,0,0,1
DataScienceApar,DataScience_Aparna,142,0,0,0,0,0,0,3
TJO_datasci,TJO,190,9176,1,1,218,28,59,961
GI_DataScience,DataScience,868,0,0,0,0,0,0,4
datascienceCL,Data Science Chile,217,0,0,0,0,0,0,4
datascience_chi,Data Science Chicago,243,0,0,0,4,0,0,5
DataScience2,DataScience,155,0,0,0,10,0,0,5
bigdata_science,Big Data Science,631,0,0,1,1,0,7,53
TullioSiragusa,Tullio Siragusa,1625,608,1,1,1449,77,32,6502
isimDatascience,Shoaib ,678,10,0,1,67,0,0,6
DataScienceLINA,DataScienceNantes,14,13,0,0,53,5,1,32
idibon,idibon,424,461,0,1,233,150,19,301
bigdatascience_,Big Data Science,582,0,0,1,56,0,4,24
DataScienceHun,Data Science Hungary,530,4,0,0,116,0,1,33
btbytes,Pradeep Gowda,2377,9831,1,1,1026,2579,25,607
WesGBrooks,Wes Brooks,1287,1577,1,1,598,25,23,718
DataSciencePro,Jason Davis,567,9,1,1,13,0,3,12
benjenkinsiv,Ben Jenkins,1634,627,1,1,1154,3,17,1134
niiadjeisowah,Stephen N. A. Sowah,1182,1175,1,1,864,29,7,511
mining_reality,Data Science,959,15,1,1,1,0,0,8
DatasciA,Data Science Assignm,150,0,0,0,10,0,0,6
Petzoldt,Dirk Petzoldt,1444,737,1,1,711,18,37,526
jabawack,Emilio Ferrara,1791,2303,1,1,562,3,17,330
hmuehlburger,Herbert Mühlburger,1487,3871,0,1,937,22,27,443
AMULETAnalytics,Daniel D. Gutierrez,1610,721,1,1,161,40,14,230
MhdKarneeb,Mohamad Karnib,1177,2992,1,1,417,13,16,224
jose_datasci,Jose Data Science,154,0,0,0,0,0,0,3
HMCollab,HealthMediaCollab,509,1577,1,1,49,23,8,231
dsogn,David Sogn,1628,533,1,1,319,19,2,186
evankats,evan katsamakas,1628,227,1,1,259,63,10,133
fedhere,federica bianco,1682,364,1,1,64,50,7,61
DataSkeptics,Data Skeptics,102,27,1,1,210,3,1,93
sekhardrona,Chandra,1457,1211,1,1,1999,272,5,383
data_reporter,DataScience Reporter,55,137,1,1,37,0,0,11
ChicagoDataInc,Chicago Data Science,197,0,0,1,19,0,0,8
P1_DataScience,P1 Data Science Grp,386,160,1,1,14,0,0,10
SciDat,Data Science,29,18,0,1,39,0,0,4
OpenDataScience,Open Data Science,448,2,0,1,3,0,0,4
LearnData,Data science,81,24,1,1,27,0,0,8
DataScience101,Data Science 101,484,0,0,1,0,0,0,4
DataScienceLnx,Data Science,408,0,0,1,4,0,0,2
fultondata,Intro Data Science,157,0,0,1,3,0,0,2
toddmetrics,Todd Belcher,1391,1077,1,1,126,32,7,115
BigDataBody,Big Data Institute,210,556,0,1,438,2,27,425
BDSPodcast,Big Data Science,96,1,0,1,0,0,0,2
DataScienceTest,Data Science Test,151,0,0,1,11,0,0,1
DataScienceJobs,Data Science Jobs,533,1,0,1,5,0,0,4
INSOFEedu,INSOFE,940,1757,1,1,794,1,2,289
chris_bour,Christop Bourguignat,1075,684,0,1,794,94,2,266
QuantAnalytic,Quantum Analytics,290,53,1,1,1988,0,11,514
MColebrook,M. Colebrook,1674,3828,1,1,218,615,21,282
DataScienceHub,Data Science Hub,112,29,0,1,0,0,0,3
JobsDataScience,JobsDataScience,41,3,0,1,24,0,0,5
NewDataScience,BI - Value in Data,99,0,0,1,0,0,0,0
khan_io,Zakiullah Khan,2016,4974,1,1,325,1,24,429
Ercan__Yilmaz,Ercan Yilmaz,572,1012,0,1,255,13,7,175
janicesunjoo,Janice Joo,1634,685,1,1,463,89,9,220
edipotrebol,Pablo Martín Muñoz,2118,13427,1,1,281,511,75,998
AAjraou,Abed Ajraou,486,1843,1,1,199,6,12,200
blattnerma,marcel blattner,949,2086,1,1,230,23,25,233
mask,Al Saavedra,2409,746,1,1,831,31,16,488
LRaykin,Leon Raykin,265,234,0,1,189,34,5,112
ibibby,Bibby Bilguun,1983,7733,1,1,586,1056,20,1349
pranay01,Pranay Prateek,1613,597,1,1,201,4,6,138
GetCloudCert,Get Cloud Certified,420,296,1,1,1054,6,2,289
ChrisCrvz,Chris Cruz,1112,776,1,1,650,18,23,363
RapidInsightInc,Rapid Insight Inc.,1261,811,1,1,305,15,11,195
dsoxford,Data Science Oxford,275,1,0,0,7,0,1,14
MgNantes,Marc G.,533,29,0,1,402,2400,13,225
datasimple,datasimple,816,221,1,1,547,11,10,335
menasheschorr,Menashe Schorr,1014,349,1,1,655,1,3,249
iAhmd,Ahmad,1101,972,0,1,694,53,1,160
metalayer,metaLayer Inc.,896,86,0,1,62,5,13,131
DataScienceSG,John Berns,418,7,0,0,65,0,0,14
DataScientistFr,Data Scientist,207,0,1,1,312,0,4,415
JoshKontagent,Josh Williams,406,110,1,1,89,0,5,116
BigData_Fr,BigData,207,0,1,1,383,0,6,505
tielmane,Tielman Esterhuizen,818,111,1,1,1472,0,2,269
jeremyharroch,Jeremy Harroch,1590,48,1,1,222,5,4,124
AnalyticsFrance,Analytics France,207,0,1,1,236,0,3,326
Zolbayar_,Zoloo,1540,1505,1,1,225,85,5,651
gopivotalDS,Pivotal Data Science,46,0,0,1,9,0,0,6
datascience5473,datascience5473,157,0,0,0,0,0,0,0
datascience11,Data,150,0,0,0,10,0,0,0
DatSciDev,DataScience,157,0,0,0,0,0,0,1
hp_datascience,hp_data,155,0,0,0,0,0,0,0
datascience1,datascience,661,0,0,0,0,0,0,0
datascikorea,datascience.korea,118,1,0,0,12,0,0,3
DSBanjo,Banjo DataScience,182,0,0,0,0,0,0,0
datascience7,D S,150,0,0,0,0,0,0,0
chi_datascience,Tony,243,0,0,0,9,0,0,1
datascienceFin,Datascience Finland,515,0,0,0,0,0,0,0
datascience_fm,Datascience FM,504,0,0,0,0,0,0,0
databowl,Data Science Bowl,18,0,0,0,5,0,0,2
DataScienceClas,Data Science,153,0,0,0,0,0,0,1
asad_data,Asad Data Science,148,0,0,0,7,0,0,3
RonaldChao05,Data_Science_Ronald,150,0,0,0,7,0,0,1
DataSciMatters,Data Science Matters,196,11,0,0,6,0,0,3
dataintroclass,Data Science Intro,132,0,0,0,0,0,0,2
data_chi,Data Science Chicago,243,0,0,0,7,0,0,1
LrnDataScience,Carlos GG,157,7,0,0,0,0,0,1
DataScienceTip,Data Science,886,0,0,0,0,0,0,1
BizDataScience,BizDataScience,560,0,0,0,13,0,0,4
ClassData,Data Science Class,151,0,0,0,10,0,0,1
SciHealthData,Science Health Data,41,86,0,0,3,2,0,0
LuisDataScience,Luis Data Science,149,0,0,0,0,0,0,1
DataScience5,Data Science,150,0,0,0,10,0,0,2
datasciencemooc,data science mooc,146,0,0,0,0,0,0,1
JoeDataScience,Joe Datta,150,0,0,0,0,0,0,1
data_science_jv,James Vaughn,155,1,0,0,13,0,0,1
datascimasters,Data Science Masters,55,0,0,0,0,0,0,1
ALuchkovsky,Data Science ,147,3,0,0,5,0,0,2
DataScienceProj,DataScienceProjects,149,0,0,0,0,0,0,0
DataScienceStud,Data Science Student,153,3,0,0,7,0,0,2
chi_data,Data Science Chicago,243,0,0,0,1,0,0,1
data_chicago,Data Science Chicago,243,0,0,0,6,0,0,1
DataScienceCour,Data Science Course,146,0,0,0,0,0,0,1
Data_Science_Co,Data_Science_Course0,152,0,0,0,0,0,0,1
DataScienceBlog,Data Science Blog,179,0,0,0,12,0,0,1
CwdsUw,Web and Data Science,95,0,0,0,2,0,0,1
DataScienceHckr,Data Science Hacker,193,0,0,0,0,0,0,1
scienceofdata,Data Science,155,0,0,0,0,0,0,1
Data_Science,YOUNG JOON CHA,1205,0,0,0,0,0,0,4
DataScience_M13,Minh Pham,149,0,0,0,0,0,0,1
DataScience42,EL_42,150,0,0,0,2,0,0,1
DataScience4,Data Science,151,0,0,0,0,0,0,1
DataScienceGrp,Christian Straight,1874,0,1,0,1,0,0,3
BioDataSci,Biomed Data Science,60,0,0,0,0,0,0,0
DataScience3,Data Science,152,0,0,0,0,0,0,1
qldatascience,QL Data Science,211,0,0,0,0,0,0,3
4DataScience,Data Science,153,0,0,0,0,0,0,1
datascichi,Data Science Chicago,243,0,0,0,10,0,0,1
gs_data_sc,GS Data Science Acco,149,0,0,0,11,0,0,1
applieddatasci,Applied Data Science,41,0,0,0,13,0,0,0
JenDataScience1,Jen DataScience1,130,0,0,0,0,0,0,1
WaterDataScienc,Water Data Science,115,0,0,0,0,0,0,0
DataScienceDojo,Data Science Dojo,191,9,0,0,5,0,0,2
DataScience1791,Claire K Pater,148,0,0,0,10,0,0,1
DataScienceGrid,DataScienceGrid,542,0,0,0,0,0,0,1
Testdatascience,Test datascience,152,0,0,0,12,0,0,0
DataScienceUK,Data-Scientists,53,0,0,0,17,0,0,1
DataScienceNews,Data Science,152,0,0,0,11,0,0,2
DataScienceRetr,Daniel Schulz,149,0,0,0,0,0,0,1
DataScienceAssi,D.K.,149,0,0,0,10,0,0,1
chidatasci,Chicago Data Science,243,0,0,0,5,0,0,1
DataSciHackers,Data Science Hackers,193,0,0,0,1,0,0,2
chicago_data,Data Science Chicago,243,0,0,0,1,0,0,1
datasciencebowl,Data Science Bowl,4,0,0,1,2,0,0,5
DataScienceCH,Data Science CH,125,0,1,1,0,0,0,3
Data_Science13,Samantha Taffner,154,0,0,0,0,0,0,1
NewDataMiner,Data Science,155,0,0,0,10,0,0,1
vigyan4,Data Science ,156,0,0,0,0,0,0,1
data_sci_101,data science,157,1,1,0,2,0,0,1
DataSciDegree,Data Science Degree,19,1,0,0,0,0,0,0
data_sci_chi,Data Science Chicago,243,0,0,0,6,0,0,1
datascience_sri,sri,148,0,0,0,1,0,0,0
datasci_minarai,repo,80,303,0,1,80,25,1,37
luiy,luiy,1662,5678,1,1,818,547,61,825
DataSciCoursera,DataSci Coursera,154,0,0,1,0,0,0,6
DataScientcorp,DataScient Corp,89,1,1,1,21,1,0,0
song_datasci,Song,153,0,0,0,0,0,0,0
datasci_student,a person,156,0,0,0,0,0,0,0
datasci_dev,J.D.,157,0,0,0,0,0,0,1
datasci_001,achtung zuruck,152,0,0,0,10,0,0,1
datasciguy,DataSci Guy,372,0,0,0,24,0,0,1
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
