handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
datascif,datasci-001-fake1,157,0,0,0,0,0,0,0
_datasci_,datasci,147,0,0,0,3,0,0,0
datasci0,Dirk Nachbar,228,0,0,0,6,0,0,0
Datasci_P,Datasci_developer,112,0,0,0,0,0,0,0
datasci13,datasci13,149,0,0,0,0,0,0,0
dwil_datasci,Duane Wilson,213,0,0,0,0,0,0,1
datasci_assign1,Jeannet,156,0,0,0,0,0,0,0
CourseraDataSci,Coursera DataSci,157,0,0,0,0,0,0,2
datasci_utar,datasci.utar,84,0,0,0,11,0,0,1
datasci3,datasci,152,0,0,0,0,0,0,0
neurondatasci,neuron datasci,159,0,0,0,10,0,0,0
datasci_julie,Julie Gauldin,150,0,0,0,6,0,0,1
DataSci1,DataSci,465,1,0,0,2,0,0,0
CdatasciHP,coursera_datasci_HP,150,0,0,0,0,0,0,0
datasci2013,Sri,149,0,0,0,27,0,0,3
molnarm_datasci,Molnár Miklós,151,0,0,0,0,0,0,0
datasci_hw,datasci_hw,156,0,0,0,0,0,0,0
datasci_ar,Andy R,149,0,0,0,0,0,0,0
datasci115,Raj Deep,149,0,0,0,0,0,0,1
DataSci2,DataSci,156,0,0,0,0,0,0,1
